threads nx ny tasks t_work t_recv imb_recv imb_work
2 1001 1001 10 1.059 1.059 0.540 0.997
2 1001 1001 25 1.074 1.074 0.517 0.997
2 1001 1001 50 1.048 1.048 0.510 0.996
2 1001 1001 75 1.065 1.065 0.516 0.997
2 1001 1001 100 1.092 1.092 0.505 0.996
2 1001 1001 150 1.067 1.067 0.543 0.995
2 1001 1001 200 1.111 1.111 0.504 0.994
3 1001 1001 10 0.641 0.641 0.427 0.993
3 1001 1001 25 0.635 0.635 0.371 0.978
3 1001 1001 50 0.642 0.642 0.354 0.987
3 1001 1001 75 0.644 0.644 0.359 0.977
3 1001 1001 100 0.636 0.636 0.345 0.991
3 1001 1001 150 0.702 0.702 0.381 0.952
3 1001 1001 200 0.681 0.681 0.341 0.991
4 1001 1001 10 0.544 0.544 0.426 0.920
4 1001 1001 25 0.489 0.489 0.310 0.961
4 1001 1001 50 0.564 0.564 0.290 0.981
4 1001 1001 75 0.599 0.599 0.288 0.961
4 1001 1001 100 0.582 0.582 0.269 0.985
4 1001 1001 150 0.679 0.679 0.310 0.892
4 1001 1001 200 0.612 0.612 0.262 0.984
